comment_id,video_id,author_channel_id,channel_id,channel_name,category,texto_original,texto_limpio,sentimiento,etiqueta_modelo,prob_negativo,prob_neutral,prob_positivo,confianza,margen_confianza,baja_confianza,community
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,UCZOmq6MwFDVoCaEl99BRRaw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",pequeño truco tenés plan mensual gb redes ilimitadas luego mandan mensaje consumiste plan ahi viene caos verificas consumo tus datos solo has utilizado redes mínimo internet ende hacer recarga adicional vas averiguar solo dicen consumiste tus datos recargar negoció redondo ambas empresas,negativo,NEG,0.5370538234710693,0.4414041042327881,0.02154208905994892,0.5370538234710693,0.09564971923828125,True,4.0
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,Que bien que cambio de nombre,bien cambio nombre,positivo,POS,0.024983560666441917,0.07526612281799316,0.8997503519058228,0.8997503519058228,0.8244842290878296,False,2.0
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,UCh5ESQvtzyHDhCA7XyekCFA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Tiene un poquito de oro y no habla como resolver los problemas .,poquito oro habla resolver problemas,negativo,NEG,0.7196907997131348,0.25525081157684326,0.02505841664969921,0.7196907997131348,0.4644399881362915,False,1.0
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,UCWIZUtKJ636y-4TYrNvok0g,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",diputados alcanza sueldo busquen trabajo departamentos capital,negativo,NEG,0.8880643844604492,0.10531637817621231,0.006619243882596493,0.8880643844604492,0.7827480062842369,False,1.0
Ugw5xMAuDaygo77ynI94AaABAg,n8iP75gIpmw,UCzoL2l5H5eVlorWGH8AZfAg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",lamentable excusas reclama ve trabajo realizan sueldon costeen propios alimentos tienen ir restaurantes lujo pueblo luchando llevar pan mesa muchos ni llegan,negativo,NEG,0.9812619090080261,0.01604076474905014,0.0026972827035933733,0.9812619090080261,0.965221144258976,False,1.0
Ugw6cfXYfV4H-asKlDR4AaABAg,TT4qJ5FXHYE,UCKVzDUqbtdSMBcexaEtMmzQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,ve deporte dinamico ni entretenido trasfondo juego bastante macabro refleja oscuridad culturas pre colombinas america encuentro sentido recrear tan negativo arcaico,negativo,NEG,0.97502201795578,0.0214528888463974,0.0035250724758952856,0.97502201795578,0.9535691291093826,False,8.0
Ugw74asIfir0_SVC6OB4AaABAg,j43HgwYFKfk,UCNpt5CQlTzNjlAKY6CJtClQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Denle golpe universitario (de estado). Lo puede hacer el CSU?,denle golpe universitario puede hacer csu,neutral,NEU,0.2983647584915161,0.6854531764984131,0.01618208736181259,0.6854531764984131,0.387088418006897,False,3.0
Ugw86zOgTwKzYotlT9l4AaABAg,n8iP75gIpmw,UCut6b9S98nv84cVX89PmKzA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Y el pueblo muriéndose de hambre muchas madres de familia ganando 50 quetzales al día y en algunos departamentos solo ganan 30 te voy a dar mención una aldea llamada el jabalí 30 quetzales al día gana algunas personas ganan 300 quetzales a la semana fiestas sanguijuelas se los comieron en un almuerzo,pueblo muriéndose hambre muchas madres familia ganando quetzales día departamentos solo ganan voy dar mención aldea llamada jabalí quetzales día gana personas ganan quetzales semana fiestas sanguijuelas comieron almuerzo,negativo,NEG,0.9045087099075317,0.08896276354789734,0.0065285153687000275,0.9045087099075317,0.8155459463596344,False,1.0
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,j43HgwYFKfk,UCQyOePccUP-fIJYzchAgZYw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Pues son muchos los alumnos hay que unirse se han quedado con la pata del Walter en el cuello, fuera hay que sacarlos",pues muchos alumnos unirse quedado pata walter cuello fuera sacarlos,negativo,NEG,0.9448848962783813,0.04358530417084694,0.011529785580933094,0.9448848962783813,0.9012995921075344,False,3.0
Ugw8pyxscJNUQpfoKuF4AaABAg,n8iP75gIpmw,UCOLGv5Pf6BF2wFcwUzgcvHg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Todos lis que trabajan en la capital pagamos apartamento y no tenemos carro y gasolina gratis,todos lis trabajan capital pagamos apartamento tenemos carro gasolina gratis,negativo,NEG,0.7940719723701477,0.19531533122062683,0.01061270572245121,0.7940719723701477,0.5987566411495209,False,1.0
Ugw9_Qw_QaSdggWuKJt4AaABAg,06mFNPU0aB8,UCAxvOOHQk7dYPOajzFEVtbA,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,Las dos se ubieran vestido de rosita con tacones y medias.Dia y noche no les ba faltar de todos calibres .delen una bolsa de pintalabios también .,dos ubieran vestido rosita tacones medias dia noche ba faltar todos calibres delen bolsa pintalabios,neutral,NEU,0.12265913188457489,0.8152619004249573,0.062078915536403656,0.8152619004249573,0.6926027685403824,False,2.0
Ugw9eye2GML6RHRSu-14AaABAg,n8iP75gIpmw,UCQ_-LPP8JAbfkc-b1Q6NvWw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,La gente muriendose de hambre y esos ladrones comiendo de maravilla que verguenza...,gente muriendose hambre ladrones comiendo maravilla verguenza,negativo,NEG,0.9528023600578308,0.037278033792972565,0.009919621981680393,0.9528023600578308,0.9155243262648582,False,1.0
UgwA5aTmgACLCuTUT494AaABAg,lj983NWyAQY,UCXmrpc6Li0spcKxtS0Q_ptg,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,guatemala nunca tube llamar guatemala dino guatebella guatehermosa guatelinda eterna primavera guatebella abrazos hnos salvadoreno viva amor armonia,positivo,POS,0.010685128159821033,0.13139784336090088,0.8579170107841492,0.8579170107841492,0.7265191674232483,False,5.0
UgwARHTnVAzzPrHbNox4AaABAg,n8iP75gIpmw,UCZ51R_9Q9C0c8I3pAWhtmjQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Me parece excelente esta entrevista,parece excelente entrevista,positivo,POS,0.0029452969320118427,0.02327595092356205,0.9737787246704102,0.9737787246704102,0.9505027737468481,False,1.0
UgwBIwUPLGxEWAu3Mh14AaABAg,X_FAIef8qlE,UCPLW0HE3siElqCgXfgWxMqg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"¿Como se subscribe uno al boletín informativo? 
Yo intenté desde la pagina web pero  los teléfonos que tienen colocados  dice telgua que no existen. Y WhatsApp igual dice que ese teléfono no existe.",subscribe boletín informativo intenté pagina web teléfonos tienen colocados dice telgua existen whatsapp igual dice teléfono existe,negativo,NEG,0.8537155985832214,0.14209645986557007,0.004187846556305885,0.8537155985832214,0.7116191387176514,False,
UgwCW5PErySUmwse3bZ4AaABAg,OkXlHx0hx-8,UCxhtlxPV8AYWaNNyU6S9H8Q,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,ver lado bueno deportan frontera carteles secuestran sacar dinero familiares usa,neutral,NEU,0.46558722853660583,0.47274166345596313,0.06167110055685043,0.47274166345596313,0.0071544349193573,True,6.0
UgwCfRlzeiXz172UQQV4AaABAg,yLZS3JiEBg8,UCvcu1kR8xMYy_I1Ty-2mV2Q,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Este video debe llegar a muchas personas, es muy buena información",video debe llegar muchas personas buena información,positivo,POS,0.0028262652922421694,0.03551185876131058,0.9616618156433105,0.9616618156433105,0.926149956882,False,4.0
UgwCw9bhAw6suYQfCWx4AaABAg,j43HgwYFKfk,UCaKAjTW9MVub_clgr4DRYjQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Qué lujooo de contenidooooo 🔥,lujooo contenidooooo,positivo,POS,0.0062757693231105804,0.03371189534664154,0.9600123167037964,0.9600123167037964,0.9263004213571548,False,3.0
UgwEOUk-ofXNqkHW5Cx4AaABAg,n8iP75gIpmw,UCxff05WuyvwELNITi7bj7UA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Desde que dijo que qué hacían los periodistas por el país lo deje de escuchar, no me quiero picar el hígado",dijo hacían periodistas país deje escuchar quiero picar hígado,negativo,NEG,0.9598258137702942,0.03720342740416527,0.0029706722125411034,0.9598258137702942,0.9226223863661289,False,1.0
UgwEQHx8Ik7SbxBTQ914AaABAg,n8iP75gIpmw,UCZLG9qH0tUjNhEGFIUt0CYw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Otros nuevos corruptos,otros nuevos corruptos,neutral,NEU,0.3548591434955597,0.5239254832267761,0.12121530622243881,0.5239254832267761,0.16906633973121643,True,1.0
UgwEjfj5ueeimHg-Hbt4AaABAg,j43HgwYFKfk,UCwgCc9Jd_gG-uLE_SY-FfPg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,usac rector sólo usurpador,negativo,NEG,0.8794482946395874,0.10442875325679779,0.016122957691550255,0.8794482946395874,0.7750195413827896,False,3.0
UgwG3XiEgFlHKtrtTqd4AaABAg,n8iP75gIpmw,UCXSkL3ejZ8qWYyF_M7s_QKA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",entoces mismas junta directiva haciéndose suyas dinero basta tanto robo barriles fondos,negativo,NEG,0.9718084931373596,0.024169374257326126,0.004022201057523489,0.9718084931373596,0.9476391188800335,False,1.0
UgwGm1V-_GN1ZPcijdl4AaABAg,n8iP75gIpmw,UChs3tU2BcKOT0CezykvAsGw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Eso es lo que yo no entiendo de los periodistas, porque ahora atacan con tanto entusiasmo estas cosas, en el gobierno anterior estuvieron callados, o en ese tiempo también ellos recibían sus pagos",entiendo periodistas ahora atacan tanto entusiasmo cosas gobierno anterior estuvieron callados tiempo recibían pagos,negativo,NEG,0.9338314533233643,0.06275981664657593,0.0034088068641722202,0.9338314533233643,0.8710716366767883,False,1.0
UgwHY5LtTiQ0lBONp8N4AaABAg,n8iP75gIpmw,UC6PvO1_k5lHKGdAPo5_C6TA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",tanto mierda programa razón tira así corruptos,negativo,NEG,0.9456888437271118,0.045767270028591156,0.008543895557522774,0.9456888437271118,0.8999215736985207,False,1.0
UgwIB06iEQnFOFLc9et4AaABAg,6W4u8sGEnGM,UCwxoKK59nGCeBqB2sXfDBIw,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,"Indignante COMO EXISTEN unos GUATEMALTECOS ESTÚPIDOS , los PROYECTOS, SON PROYECTOS DE ESTADOS no de PARTIDOS POLÍTICOS, lo que hubiera estado HACIENDO EL ZURDO PRESIDENTE era INAURANDO su CONSTRUCCIÓN no reempezar lo que hace 3 años empezó así como el el puente Roosevelt no tuvo ningún cambio fue lo que ya estaba expuesto, lo que sucede que siempre llega otro delincuente y quiere su mordida ese PROSUPUESTO YA ESTABA ECHO ..",indignante existen guatemaltecos estúpidos proyectos proyectos estados partidos políticos hubiera haciendo zurdo presidente inaurando construcción reempezar años empezó así puente roosevelt tuvo ningún cambio expuesto sucede siempre llega delincuente quiere mordida prosupuesto echo,negativo,NEG,0.9623076319694519,0.033109404146671295,0.004582866095006466,0.9623076319694519,0.9291982278227806,False,2.0
UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,6W4u8sGEnGM,UCWaRixDdpgllTBf4V0jPnKQ,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,Tantos.que empezaron y no llegaron ni siquiera a la mitad puentes donde no hay Rio para robar el dinero y este presidente llegó para hacer algo diferente y eso que no vote por el pues tampoco he cotado por los corruptos pero a este presente si votaría por el si fuera posible,tantos empezaron llegaron ni siquiera mitad puentes rio robar dinero presidente llegó hacer diferente vote pues tampoco he cotado corruptos presente votaría fuera posible,negativo,NEG,0.8334041833877563,0.13864018023014069,0.027955656871199608,0.8334041833877563,0.6947640031576157,False,2.0
UgwIBBqN6fh6MURkwkN4AaABAg,j43HgwYFKfk,UCkVtmkK07b2zaVVNssX4lOg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Mucha importancia le dan a éste ladrón maldito,",mucha importancia dan ladrón maldito,negativo,NEG,0.9712888598442078,0.022601790726184845,0.006109330803155899,0.9712888598442078,0.9486870691180229,False,3.0
UgwIiqrp6EYNoFmnBAR4AaABAg,n8iP75gIpmw,UCN6qbfPSzFtjhqUDZ3Cv3CQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"O sea que si es válido que se den sus gustos con el dinero de los guatemaltecos, es una sinverguenzada, para eso tienen jugosos salarios no le roben al pueblo",válido den gustos dinero guatemaltecos sinverguenzada tienen jugosos salarios roben pueblo,negativo,NEG,0.9209767580032349,0.06255548447370529,0.016467761248350143,0.9209767580032349,0.8584212735295296,False,1.0
UgwIlv8gtF3WKYfHSJJ4AaABAg,j43HgwYFKfk,UC95PSMouTx2N5CbSq0hIyrQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,😮,,neutral,NEU,0.23818501830101013,0.485853910446167,0.27596110105514526,0.485853910446167,0.20989280939102173,True,3.0
UgwJ4UehO5E4j0niJU14AaABAg,n8iP75gIpmw,UCueV9cTyTDwgQSec1x2dYgA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,😂😂😂😂solo pajas😅😅que político gasta su dinero por el país,solo pajas político gasta dinero país,negativo,NEG,0.9590913653373718,0.03403136879205704,0.006877371110022068,0.9590913653373718,0.9250599965453148,False,1.0
UgwJMFYT7I9czw_oa0V4AaABAg,n8iP75gIpmw,UC5H8ASmMC9WrURmzeB4ySog,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,No es el tema centrese y aclare...,tema centrese aclare,neutral,NEU,0.1274203211069107,0.7868338227272034,0.08574584126472473,0.7868338227272034,0.6594135016202927,False,1.0
UgwJN55EmMcKPRb_AfB4AaABAg,n8iP75gIpmw,UCHhHUjaMAZ8SiXdCUCj9DkQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,hay cosas que yo no entiendo de Guatemala que a mi suena ilogico. Dandole almuerzos gratis a funcionarios publico? a poco no es suficiente con todos los robos que hacen aparte de los salarios incontables que tienen. Porque no crean un fondo mas para las escuelas para que los niños desnutridos que seria de gran ayuda para los padres.,cosas entiendo guatemala suena ilogico dandole almuerzos gratis funcionarios publico suficiente todos robos hacen aparte salarios incontables tienen crean fondo escuelas niños desnutridos seria gran ayuda padres,negativo,NEG,0.9748119711875916,0.021795855835080147,0.003392220241948962,0.9748119711875916,0.9530161153525114,False,1.0
UgwKjHT5lyjLiqR9ym94AaABAg,n8iP75gIpmw,UCgvw7xIdGFupzpt1Y_BFkEA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Si hacen algo bueno para guate es por eso que se les paga.,hacen bueno guate paga,positivo,POS,0.10073642432689667,0.20323282480239868,0.6960306763648987,0.6960306763648987,0.4927978515625,False,1.0
UgwL_UlN82zRUeNgVDh4AaABAg,j43HgwYFKfk,UCeDNEtI8_a42bZ47wJiJMwQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,SECUESTRADOR DE LA U DE SAN CARLOS,secuestrador u san carlos,neutral,NEU,0.39244961738586426,0.5653051137924194,0.04224521666765213,0.5653051137924194,0.17285549640655518,True,3.0
UgwMfCTNaiukOxMqfON4AaABAg,6W4u8sGEnGM,UCiOZX__1gahg1ypIj0_XG_w,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,Pero ya enseña,enseña,neutral,NEU,0.08136387169361115,0.7566092610359192,0.16202683746814728,0.7566092610359192,0.5945824235677719,False,2.0
UgwNvErOoJ_qRYF6TB94AaABAg,j43HgwYFKfk,UCqCrvuoJpC-aVb0f4logQRQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Es una buena universidad, ahí estudio mi hermano, sin embargo es una universidad manchada por los malditos rojos, los asquerosos Comunistas que salen a manifestar en la huelga.",buena universidad ahí estudio hermano embargo universidad manchada malditos rojos asquerosos comunistas salen manifestar huelga,negativo,NEG,0.8715704083442688,0.08935921639204025,0.03907039761543274,0.8715704083442688,0.7822111919522285,False,3.0
UgwO8kzHC551ofxNYCV4AaABAg,TT4qJ5FXHYE,UCld2stqxaVSk0QdGncM224A,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,¡Que excelente iniciativa y equipo de emprendimeitno por rescatar las tradiciones de Guatemala! Esperamos que puedan seguir avanzando y que este juego se vuelva algo mucho más popular entre las nuevas generaciones. ¡Bravo!,excelente iniciativa equipo emprendimeitno rescatar tradiciones guatemala esperamos puedan seguir avanzando juego vuelva popular nuevas generaciones bravo,positivo,POS,0.004454260692000389,0.025670362636446953,0.9698753356933594,0.9698753356933594,0.9442049730569124,False,8.0
UgwPCZZx2gI444cg2AV4AaABAg,n8iP75gIpmw,UCpIdtvoFHVLGASGB5ySqIEA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Este diputado no deja  hablar a los periodistas  y trata de confundir a la población con sus respuestas justificando las armadas que se da con el dinero del pu3blo,diputado deja hablar periodistas trata confundir población respuestas justificando armadas da dinero pu blo,negativo,NEG,0.9725903272628784,0.022270670160651207,0.005139031447470188,0.9725903272628784,0.9503196571022272,False,1.0
UgwRLgDGrh-_TEVNOYh4AaABAg,OkXlHx0hx-8,UCtiHFjFu7d5v2XxHnKFUYig,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,También hay personas que se hacen pasar por mexicanos para que los deporté a México y regresar más rápido a Usa,personas hacen pasar mexicanos deporté méxico regresar rápido usa,neutral,NEU,0.22977019846439362,0.7296846508979797,0.040545206516981125,0.7296846508979797,0.4999144524335861,False,6.0
UgwSDn5aIUEZwOlx9c94AaABAg,zweosulrwA8,UCQM2tCKRRytVDRxNUfCDqQQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,❤🎉,,neutral,NEU,0.23818501830101013,0.485853910446167,0.27596110105514526,0.485853910446167,0.20989280939102173,True,
UgwSt406Q1HWBWCewI14AaABAg,6W4u8sGEnGM,UCWvntqPQx99k_Z_skWKqNSA,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,5 anos mas precidente,anos precidente,neutral,NEU,0.1088416650891304,0.6455959677696228,0.245562344789505,0.6455959677696228,0.4000336229801178,False,2.0
UgwSt406Q1HWBWCewI14AaABAg.Aa-KmSVE5UgAa-M7iXQwik,6W4u8sGEnGM,UCoGdCoJg2Lh0OX_jv6cG16g,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,Ojalá se pudiera,ojalá pudiera,neutral,NEU,0.18084384500980377,0.5539583563804626,0.2651978135108948,0.5539583563804626,0.28876054286956787,True,2.0
UgwTyYcT2aNvGA5DK4J4AaABAg,n8iP75gIpmw,UChgkn5Jt5tWKYMoEOuCjz3Q,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Por primera vez deacuerdo con pedro.,primera vez deacuerdo pedro,positivo,POS,0.014366356655955315,0.20404866337776184,0.7815849781036377,0.7815849781036377,0.5775363147258759,False,1.0
UgwUZL4XYbr2lbEi1r94AaABAg,j43HgwYFKfk,UCiC-Jn7wdgyQV4_Urk0DkWQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"En julio de 2022 al haber asumido como Rector de Facto, eligieron a Héctor Hugo Pérez Aguilera como representante Titular de la USAC ante la Corte de Constitucionalidad.",julio haber asumido rector facto eligieron héctor hugo pérez aguilera representante titular usac corte constitucionalidad,neutral,NEU,0.15023545920848846,0.7764542698860168,0.07331028580665588,0.7764542698860168,0.6262188106775284,False,3.0
UgwXm2HjtCzRKiDHflJ4AaABAg,JkpVO1hx2f8,UCQIdKuZ-OzuFqy0KjGrgesg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Guatemala solo cambia de dictadura cada 4 años,guatemala solo cambia dictadura cada años,negativo,NEG,0.7294138073921204,0.25412672758102417,0.01645948737859726,0.7294138073921204,0.4752870798110962,False,9.0
UgwY0wdDJRzHsTCnLbN4AaABAg,n8iP75gIpmw,UCXr8_5WtGeipe4haOoQDgyQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Ala! Que tipo necio y descarado!  Hipócrita!
Comen y después hablan de desnutrición! Que colmo!
Gracias por cumplir con el mandato periodístico!",ala tipo necio descarado hipócrita comen después hablan desnutrición colmo gracias cumplir mandato periodístico,negativo,NEG,0.9685810208320618,0.023656269535422325,0.00776275247335434,0.9685810208320618,0.9449247512966394,False,1.0
UgwY2FW-3sBGV2CGxaJ4AaABAg,06mFNPU0aB8,UC_3xuTXvMIWU5MYP9HkJ3vQ,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,Excelente trabajo señores agentes que Dios me los cuide mucho,excelente trabajo señores agentes dios cuide,positivo,POS,0.004271130543202162,0.03040636144578457,0.9653224945068359,0.9653224945068359,0.9349161330610514,False,2.0
